Application,Ratings,Reviews,File_Size,Downloads,Category,Purchase_Price,Content Rating,Genres,Android_Supported,App_Type,Ratings_Score,Reviews_Score,Downloads_Score,File_Size_Score,Purchase_Price_Score,Content_Rating_Score,Success_Score
Chakra Cleansing,1.8,539,99.0,50000,Free,0.0,1,Libraries ,4.0,Free,0.36,6.896260008501208e-06,5e-05,0.010000000000000009,1.0,0.2,0.0
RadRevision: Anatomy on CT,1.0,568,42.0,50000,Free,0.0,1,Medical,4.0,Free,0.2,7.267301827140419e-06,5e-05,0.5800000000000001,1.0,0.2,0.026887504168745573
Hojiboy Tojiboyev Life Hacks,1.0,15,37.0,1000,Free,0.0,1,Comics,4.0,Free,0.2,1.919181820547646e-07,1e-06,0.63,1.0,0.2,0.0347717757153551
Sago Mini Babies,2.0,253,83.0,10000,Paid,3.99,1,Education,4.0,Paid,0.4,3.2370200039903627e-06,1e-05,0.17000000000000004,0.990025,0.2,0.040313920490243266
Audiowalk EB,2.2,0,90.0,10,Free,0.0,1, Local,4.2,Free,0.44000000000000006,0.0,1e-08,0.09999999999999998,1.0,0.2,0.045842603962144665
Miraculous Ladybug & Cat Noir - The Official Game,2.5,184210,99.0,10000000,Free,0.0,1,Action,4.4,Free,0.5,0.0023568832210872125,0.01,0.010000000000000009,1.0,0.2,0.0602635289438798
DM Accounting and Payroll,2.5,0,92.0,100,Free,0.0,1,Finance,5.0,Free,0.5,0.0,1e-07,0.07999999999999996,1.0,0.2,0.06640365682719074
Arcraft - AR Sandbox,2.3,469,80.0,10000,Free,0.0,1,Adventure,4.0,Free,0.45999999999999996,6.000641825578973e-06,1e-05,0.19999999999999996,1.0,0.2,0.06957206109533495
Sweet Baby Girl - Dream House and Play Time,1.8,95537,58.0,10000000,Free,0.0,1,Education,4.4,Free,0.36,0.0012223524905977364,0.01,0.42000000000000004,1.0,0.2,0.06966350633423023
Farm Fruit Pop: Party Time,1.0,9305,14.0,1000000,Free,0.0,1,Casual,4.0,Free,0.2,0.00011905324560130564,0.001,0.86,1.0,0.2,0.07163235755426564
Border Ag & Energy,1.0,0,12.0,50,Free,0.0,1,Business,4.3,Free,0.2,0.0,5e-08,0.88,1.0,0.2,0.07431171393425959
CJ'S TIRE AND AUTO INC.,1.0,5,11.0,100,Free,0.0,1,Productivity,4.1,Free,0.2,6.39727273515882e-08,1e-07,0.89,1.0,0.2,0.07589335888377935
"Pulse Nabd - World News, Urgent",1.0,357944,12.0,10000000,Free,0.0,1, Magazines,4.1,Free,0.2,0.004579730783827377,0.01,0.88,1.0,0.2,0.07941870752104545
"Resume Maker:Free CV Maker,Templates Builder",1.0,715,7.1,100000,Free,0.0,1,Business,4.0,Free,0.2,9.148100011277112e-06,0.0001,0.929,1.0,0.2,0.08210978134883352
Bilingual Dictionary Audio App,2.6,68,87.0,5000,Free,0.0,1, Reference,4.1,Free,0.52,8.700290919815995e-07,5e-06,0.13,1.0,0.2,0.08222221226818166
